SubclassDescription,Shock_Lag,Immediate_Depreciation,Immediate_Appreciation_Component,Depreciation_Distributed_Lag_Sum,Depreciation_Sum_P_Value,Appreciation_Distributed_Lag_Sum,Appreciation_Sum_P_Value,Asymmetry_F_Statistic,Asymmetry_P_Value,Multiplier_Difference,Raw_Short_Run_Asymmetry,Asymmetry_Holm_P_Value,Asymmetry_FDR_P_Value,Depreciation_Holm_P_Value,Depreciation_FDR_P_Value,Appreciation_Holm_P_Value,Appreciation_FDR_P_Value,Final_Short_Run_Asymmetry
Fruit and vegetable juices,1,0.04359716763002386,-0.07374747408276972,-0.13680838116745625,0.07090409880719802,0.040159104657919525,0.7049860646149168,1.3532312590860747,0.24808799065397616,-0.17696748582537578,False,1.0,0.8996182763603038,1.0,0.4774377750082843,1.0,0.9192340041112274,False
Baby food,0,-0.03591641102538525,0.0847462723366521,-0.03591641102538525,0.5003459092756887,0.0847462723366521,0.27283762973609155,1.1970804553763577,0.2770335152970765,-0.12066268336203737,False,1.0,0.8996182763603038,1.0,0.7742476098057024,1.0,0.8425978906914688,False
"Nut puree, nut butter and nut pastes",0,-0.10254041452261688,0.07368963306713981,-0.10254041452261688,0.21056653004681333,0.07368963306713981,0.5326469293274174,1.0944213389455435,0.2984947041224051,-0.1762300475897567,False,1.0,0.8996182763603038,1.0,0.6053787738845884,1.0,0.8425978906914688,False
Other food products n.e.c.,0,0.031605759659999,-0.07031301404437615,0.031605759659999,0.5125489532813127,-0.07031301404437615,0.31485892708437896,1.0439311138053202,0.3098425603811191,0.10191877370437515,False,1.0,0.8996182763603038,1.0,0.7742476098057024,1.0,0.8425978906914688,False
Water,0,-0.031459679371540046,0.05432846176395968,-0.031459679371540046,0.4532404988146678,0.05432846176395968,0.3766010516176501,0.973073384253829,0.32674778096635027,-0.08578814113549973,False,1.0,0.8996182763603038,1.0,0.7446093909098114,1.0,0.8425978906914688,False
Soft drinks,0,0.05109119820527739,-0.04709592819936309,0.05109119820527739,0.31951279798205945,-0.04709592819936309,0.5290278940054489,0.845196469125014,0.3605472987011388,0.09818712640464047,False,1.0,0.8996182763603038,1.0,0.668072213962488,1.0,0.8425978906914688,False
Flour of cereals,0,0.2024641555178105,0.04386948863359572,0.2024641555178105,0.017744732058891623,0.04386948863359572,0.7194005249566128,0.8269805522373752,0.36574901484362815,0.15859466688421478,False,1.0,0.8996182763603038,0.7630234785323398,0.20406441867725367,1.0,0.9192340041112274,False
"Meat, fresh, chilled or frozen",0,0.040209581855492484,-0.025282879457548597,0.040209581855492484,0.2670342078108566,-0.025282879457548597,0.634199297886092,0.7535636312901071,0.38785334189349435,0.06549246131304108,False,1.0,0.8996182763603038,1.0,0.668072213962488,1.0,0.9192340041112274,False
"Ice, ice cream and sorbet",0,0.014055667787634483,0.17374178922776232,0.014055667787634483,0.8828151740871795,0.17374178922776232,0.21051704890998593,0.649337393454765,0.4226250028848595,-0.15968612144012784,False,1.0,0.8996182763603038,1.0,0.9491529463981636,1.0,0.8425978906914688,False
Fish preparations,0,-0.0005792027094682728,-0.17595693325812847,-0.0005792027094682728,0.9957102301069938,-0.17595693325812847,0.2624310964487672,0.615597458507006,0.4348951582814781,0.1753777305486602,False,1.0,0.8996182763603038,1.0,0.9957102301069938,1.0,0.8425978906914688,False
Fish,0,-0.09645658306439124,-0.05076859346521167,-0.09645658306439124,0.004695895849530854,-0.05076859346521167,0.29319475662263345,0.44049928369494473,0.5086991068074955,-0.04568798959917957,False,1.0,0.8996182763603038,0.21601120907841928,0.18951823033663276,1.0,0.8425978906914688,False
Other milk and cream,0,-0.01843320360159427,-0.08388966203202168,-0.01843320360159427,0.7083724030006934,-0.08388966203202168,0.2344361201575484,0.4187298200682104,0.5193789028530957,0.06545645843042741,False,1.0,0.8996182763603038,1.0,0.9491529463981636,1.0,0.8425978906914688,False
Cheese,0,0.07589000755950064,0.011774194861815543,0.07589000755950064,0.1326274774624877,0.011774194861815543,0.870408172527872,0.3855501522936847,0.5363290086336842,0.0641158126976851,False,1.0,0.8996182763603038,1.0,0.5546239966613122,1.0,0.9213249328782738,False
"Fruit-bearing vegetables, fresh or chilled",0,-0.025961692551146,-0.23340974158890002,-0.025961692551146,0.8824480220232414,-0.23340974158890002,0.35016245267021295,0.3351248868759316,0.5642832440250903,0.20744804903775402,False,1.0,0.8996182763603038,1.0,0.9491529463981636,1.0,0.8425978906914688,False
"Meat , dried, salted, in brine or smoked",0,0.03844687776576223,-0.018056630445608426,0.03844687776576223,0.4299627133879721,-0.018056630445608426,0.7976024315324288,0.31456315776632077,0.5763865039928541,0.05650350821137065,False,1.0,0.8996182763603038,1.0,0.732529067253582,1.0,0.9213249328782738,False
Other non-alcoholic beverages,0,-0.011310616556609449,0.03369421745024854,-0.011310616556609449,0.7711104213033276,0.03369421745024854,0.5495203634944362,0.3123716801564777,0.5777154535235229,-0.04500483400685799,False,1.0,0.8996182763603038,1.0,0.9491529463981636,1.0,0.8425978906914688,False
Ready-made food,0,0.011615948286187817,-0.07322740589502,0.011615948286187817,0.88725166728524,-0.07322740589502,0.5423788008427604,0.24415586614888943,0.6225102068018268,0.08484335418120781,False,1.0,0.8996182763603038,1.0,0.9491529463981636,1.0,0.8425978906914688,False
Fruit and nuts ground and other preparations,0,-0.05087546922504879,0.008722291420471777,-0.05087546922504879,0.4084364527611297,0.008722291420471777,0.9213249328782738,0.22487873943582976,0.6365778440571307,-0.05959776064552057,False,1.0,0.8996182763603038,1.0,0.7270600996924312,1.0,0.9213249328782738,False
Milk-based desserts and beverages,1,-0.0990065082803414,0.2944291713142735,-0.14955514708351714,0.15161903242768882,-0.04942446959232605,0.7443783648024984,0.2139403679743064,0.6449519702052877,-0.10013067749119109,False,1.0,0.8996182763603038,1.0,0.5812062909728072,1.0,0.9213249328782738,False
Margarine and similar preparations,0,-0.009425168538071682,-0.06977959910119091,-0.009425168538071682,0.8863975727523862,-0.06977959910119091,0.4664871605135667,0.19446030088725086,0.6603628897438609,0.06035443056311923,False,1.0,0.8996182763603038,1.0,0.9491529463981636,1.0,0.8425978906914688,False
"Meat, offal, blood and other parts of slaughtered animals preparations",0,0.0125977949881767,-0.03293780400416002,0.0125977949881767,0.8122459743214275,-0.03293780400416002,0.6668354039007862,0.17275403199052358,0.6787355961343184,0.04553559899233672,False,1.0,0.8996182763603038,1.0,0.9491529463981636,1.0,0.9192340041112274,False
"Chocolate, cocoa, and cocoa-based food products",0,-0.009397774965017336,0.02880082328222592,-0.009397774965017336,0.8361908323565105,0.02880082328222592,0.6612055518711378,0.16470917597814597,0.6858893448291612,-0.038198598247243254,False,1.0,0.8996182763603038,1.0,0.9491529463981636,1.0,0.9192340041112274,False
"Macaroni, noodles, couscous and similar pasta products",0,0.03993894506989916,0.09056836076917142,0.03993894506989916,0.5217755631299299,0.09056836076917142,0.31630997438672437,0.15288541091050956,0.6968071586058588,-0.05062941569927226,False,1.0,0.8996182763603038,1.0,0.7742476098057024,1.0,0.8425978906914688,False
"Offal, blood and other parts of slaughtered animals",0,0.07539295106215783,0.013644048157207407,0.07539295106215783,0.31580478439178794,0.013644048157207407,0.9021117177446409,0.1523111588826906,0.6973243641189005,0.06174890290495043,False,1.0,0.8996182763603038,1.0,0.668072213962488,1.0,0.9213249328782738,False
"Salt, condiments and sauces",0,0.04553981504916234,0.007187520559647059,0.04553981504916234,0.34588082000169507,0.007187520559647059,0.9178955607997429,0.14756111429715366,0.7018477197936517,0.03835229448951528,False,1.0,0.8996182763603038,1.0,0.6917616400033901,1.0,0.9213249328782738,False
Coffee and coffee substitutes,0,0.016431088287862508,0.07544224110913525,0.016431088287862508,0.8315396490032148,0.07544224110913525,0.5015157394646522,0.1328513514469263,0.7164320570440621,-0.05901115282127274,False,1.0,0.8996182763603038,1.0,0.9491529463981636,1.0,0.8425978906914688,False
Cereals,0,-0.07842761332119733,-0.13458932732758327,-0.07842761332119733,0.29607929797944577,-0.13458932732758327,0.22979520925139854,0.1259251736299818,0.7236060048985052,0.05616171400638595,False,1.0,0.8996182763603038,1.0,0.668072213962488,1.0,0.8425978906914688,False
Vegetable oils,0,0.02584127855432468,-0.024604215111809574,0.02584127855432468,0.8109950276842763,-0.024604215111809574,0.874943165747612,0.05074509029580681,0.8223189326428525,0.05044549366613425,False,1.0,0.953056196394287,1.0,0.9491529463981636,1.0,0.9213249328782738,False
Eggs,0,0.05640564158104399,0.014268338246961726,0.05640564158104399,0.5428312713996093,0.014268338246961726,0.9170903888940606,0.04635988504540327,0.830051140994008,0.04213730333408226,False,1.0,0.953056196394287,1.0,0.7803199526369384,1.0,0.9213249328782738,False
Milk,1,-0.052265230837257745,0.06933069180160832,0.06093151234845051,0.19789799681575057,0.04465689477703623,0.500085022501488,0.029124390192512943,0.8649125325728063,0.016274617571414282,False,1.0,0.953056196394287,1.0,0.6053787738845884,1.0,0.8425978906914688,False
"Other fruits, fresh",0,0.1901372306628524,0.23649597934296565,0.1901372306628524,0.29432808865190296,0.23649597934296565,0.36273281228800064,0.015456143350613918,0.9013567691828989,-0.04635874868011325,False,1.0,0.953056196394287,1.0,0.668072213962488,1.0,0.8425978906914688,False
"Other vegetables, fresh or chilled",0,0.06341636926277718,0.03570392561675015,0.06341636926277718,0.5641619870654447,0.03570392561675015,0.8242027124321494,0.014571643246662595,0.9042172503122277,0.027712443646027027,False,1.0,0.953056196394287,1.0,0.7864076183336502,1.0,0.9213249328782738,False
Breakfast cereals,0,0.0044851797664454875,-0.012352404449689559,0.0044851797664454875,0.947023460268281,-0.012352404449689559,0.8995930396852696,0.014482807044819725,0.9044976119013493,0.016837584216135047,False,1.0,0.953056196394287,1.0,0.9900699811895665,1.0,0.9213249328782738,False
Sugar,0,-0.048019657810821986,-0.034609822001305364,-0.048019657810821986,0.41094701286963503,-0.034609822001305364,0.6809240599412439,0.012394730805885145,0.9116189704641006,-0.013409835809516622,False,1.0,0.953056196394287,1.0,0.7270600996924312,1.0,0.9192340041112274,False
"Vegetables, tubers, plantains and cooking bananas, frozen",0,-0.10643033296477257,-0.09817771874638835,-0.10643033296477257,0.08959726585186244,-0.09817771874638835,0.26744962088789986,0.004275477172821862,0.9480211356706864,-0.008252614218384219,False,1.0,0.9690882720189238,1.0,0.4774377750082843,1.0,0.8425978906914688,False
Tubers,0,-0.2111966267104118,-0.20796739177355264,-0.2111966267104118,0.2783162598017781,-0.20796739177355264,0.4591148079043836,6.439171310957771e-05,0.9936165152921143,-0.003229234936859171,False,1.0,0.9936165152921143,1.0,0.668072213962488,1.0,0.8425978906914688,False
